time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
19.319999999999677,-19.0991468572,-12.591107767,300.0,6.26812463491,0.0306727228372,0.0,-3.3011176924,-2.1884992937,28.0629402593,0.000915276531449,0.00170142318206,0.0,900.002914339,899.999005285,899.999738127,899.998567322
19.379999999999676,-19.2979969771,-12.7228097409,300.0,6.26817874893,0.0307720443378,0.0,-3.32725120412,-2.20157211073,28.0617674916,0.000875129542574,0.00156305258829,0.0,900.003532939,899.997890921,900.000316071,899.998669163
19.439999999999674,-19.4984214963,-12.855297238,300.0,6.26823176424,0.0308640630176,0.0,-3.35359764553,-2.21468363137,28.0605915485,0.000900504470527,0.00147475322725,0.0,900.003015558,899.999404261,899.998428324,899.999435702
19.499999999999673,-19.7004331969,-12.9885726096,300.0,6.26828514245,0.0309503457461,0.0,-3.38015736973,-2.22783464921,28.0594123522,0.000867888380737,0.00136451539227,0.0,900.003106615,899.99860883,899.999424377,899.998082773
19.559999999999672,-19.9040448945,-13.1226382524,300.0,6.26833624013,0.0310289430963,0.0,-3.40693091485,-2.24102626285,28.0582304336,0.000819081602375,0.00120059289263,0.0,900.003886913,899.997217537,899.999324542,899.997328016
19.61999999999967,-20.1092694183,-13.2574966616,300.0,6.26838412714,0.031097889556,0.0,-3.43391814058,-2.25426051749,28.0570521378,0.0007561464392,0.00104591889173,0.0,900.004578492,899.998287294,899.999555216,899.996987651
19.67999999999967,-20.3161195716,-13.3931504645,300.0,6.26842948627,0.0311570593372,0.0,-3.46111848403,-2.26753971705,28.0558790034,0.000755663505681,0.000866360440177,0.0,900.004655219,899.997359763,899.999779668,899.999742604
19.739999999999668,-20.5246081155,-13.5296024051,300.0,6.26847511519,0.0312048285841,0.0,-3.48853101531,-2.28086522422,28.0547071422,0.00077011903971,0.00065534411947,0.0,900.004767412,899.996202091,899.99928205,899.999849945
19.799999999999667,-20.7347477537,-13.6668552848,300.0,6.26852247783,0.0312414887971,0.0,-3.516154784,-2.29423772941,28.0535475862,0.000827873326899,0.000522157859228,0.0,900.00481933,899.999410632,899.998499204,900.000820197
19.859999999999665,-20.9465511403,-13.8049119182,300.0,6.26857298605,0.0312714090826,0.0,-3.54398938427,-2.30765691988,28.0523980674,0.00086965485874,0.000451648218873,0.0,900.004269539,900.001402041,899.998581312,900.000254162
19.919999999999664,-21.1600309556,-13.9437750908,300.0,6.26862533356,0.0312965427664,0.0,-3.57203600676,-2.3211223485,28.0512560195,0.000878066409495,0.000353294669851,0.0,900.004296689,900.000303256,899.999296039,899.999616591
19.979999999999663,-21.3751999662,-14.0834475814,300.0,6.26867684577,0.0313163418099,0.0,-3.60029610858,-2.33463432729,28.050118719,0.000819441849011,0.000283313114891,0.0,900.004139917,900.001297708,899.998784709,899.996390368
20.03999999999966,-21.5920710379,-14.2239322317,300.0,6.26872536482,0.0313315460135,0.0,-3.62877166061,-2.34819466942,28.0489927584,0.000787055837531,0.00019350526354,0.0,900.004490139,900.000846676,899.999147321,899.997816869
20.09999999999966,-21.8106571441,-14.365232,300.0,6.26877284984,0.0313418120937,0.0,-3.65746419113,-2.36180515471,28.0478679189,0.000800139383007,0.000126247158972,0.0,900.003348356,900.000620154,899.9969243,899.997435922
20.15999999999966,-22.0309713698,-14.5073499314,300.0,6.26882108923,0.0313479224529,0.0,-3.68637598695,-2.37546685209,28.0467509983,0.000811691277136,5.29694707819e-05,0.0,900.002352816,899.999382418,899.998099388,899.998548687
20.219999999999658,-22.2530269374,-14.6502891141,300.0,6.26887066158,0.031348684955,0.0,-3.71550923179,-2.38918026644,28.0456402427,0.000855224315001,-6.79513027292e-05,0.0,900.004063954,899.999165943,899.996207407,899.997951557
20.279999999999657,-22.4768371889,-14.7940526566,300.0,6.26892321141,0.0313435310979,0.0,-3.74486569013,-2.40294546452,28.0445373653,0.000917018700972,-0.000121821366952,0.0,900.002858463,900.000678558,899.995306644,899.997789325
20.339999999999655,-22.702415582,-14.9386436521,300.0,6.26897935599,0.0313353970534,0.0,-3.77444772319,-2.41676193423,28.0434438028,0.000973172221098,-0.000163078976592,0.0,900.000872221,899.999204326,899.996937291,899.999190139
20.399999999999654,-22.929775748,-15.0840651598,300.0,6.26903935989,0.0313248514692,0.0,-3.80425860456,-2.43062910576,28.0423638714,0.00105380675972,-0.00020113820981,0.0,900.00150815,899.999970742,899.996946467,900.000189436
20.459999999999653,-23.1589315171,-15.2303201952,300.0,6.26910463739,0.0313119858162,0.0,-3.83430167365,-2.44454600045,28.041296273,0.00115618625501,-0.000241024595645,0.0,900.002634875,900.001024365,899.996387184,900.000508932
